日付,製品名,不良項目,不良数,検査数,原因分類,発生工程,備考
2024-01-01,製品A,寸法不良,5,100,加工,旋盤,工具摩耗
2024-01-01,製品A,表面粗さ,3,100,工具,旋盤,切削油不足
2024-01-01,製品B,欠け,2,80,材料,研削,材料不良
2024-01-01,製品C,傷,1,120,作業者,組立,取扱不注意
2024-01-02,製品A,寸法不良,7,100,加工,旋盤,工具摩耗
2024-01-02,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-02,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-02,製品C,寸法不良,3,120,加工,組立,治具不良
2024-01-03,製品A,欠け,1,100,材料,旋盤,材料不良
2024-01-03,製品A,表面粗さ,2,100,工具,旋盤,切削油不足
2024-01-03,製品B,傷,3,80,作業者,研削,取扱不注意
2024-01-03,製品C,変形,1,120,環境,組立,温度変化
2024-01-04,製品A,寸法不良,6,100,加工,旋盤,工具摩耗
2024-01-04,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-04,製品B,表面粗さ,5,80,工具,研削,砥石摩耗
2024-01-04,製品C,寸法不良,4,120,加工,組立,治具不良
2024-01-05,製品A,表面粗さ,4,100,工具,旋盤,切削油不足
2024-01-05,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-05,製品B,欠け,3,80,材料,研削,材料不良
2024-01-05,製品C,傷,2,120,作業者,組立,取扱不注意
2024-01-06,製品A,寸法不良,8,100,加工,旋盤,工具摩耗
2024-01-06,製品A,欠け,1,100,材料,旋盤,材料不良
2024-01-06,製品B,表面粗さ,3,80,工具,研削,砥石摩耗
2024-01-06,製品C,寸法不良,5,120,加工,組立,治具不良
2024-01-07,製品A,表面粗さ,2,100,工具,旋盤,切削油不足
2024-01-07,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-07,製品B,欠け,4,80,材料,研削,材料不良
2024-01-07,製品C,傷,1,120,作業者,組立,取扱不注意
2024-01-08,製品A,寸法不良,4,100,加工,旋盤,工具摩耗
2024-01-08,製品A,欠け,3,100,材料,旋盤,材料不良
2024-01-08,製品B,表面粗さ,6,80,工具,研削,砥石摩耗
2024-01-08,製品C,寸法不良,3,120,加工,組立,治具不良
2024-01-09,製品A,表面粗さ,5,100,工具,旋盤,切削油不足
2024-01-09,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-09,製品B,欠け,2,80,材料,研削,材料不良
2024-01-09,製品C,傷,3,120,作業者,組立,取扱不注意
2024-01-10,製品A,寸法不良,9,100,加工,旋盤,工具摩耗
2024-01-10,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-10,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-10,製品C,寸法不良,6,120,加工,組立,治具不良
